Observation #: 25722
-------------------------------------------------------------------------------------
 Time(YYYMMDD)   Depth(m) Value(celsius)  Std(%)
       20070821       3.59       20.1860     10.0
       20070821       4.58       20.1250     10.0
       20070821       5.57       20.0780     10.0
       20070821       6.51       20.0360     10.0
       20070821       7.48       19.8390     10.0
       20070821       8.48       18.3260     10.0
       20070821       9.49       17.8710     10.0
       20070821      11.10       17.2800     10.0
       20070821      11.30       16.8960     10.0
       20070822       2.77       20.5740     10.0
       20070822       3.14       20.5320     10.0
       20070822       3.59       20.4080     10.0
       20070822       4.58       20.1930     10.0
       20070822       5.57       19.9860     10.0
       20070822       6.51       19.7860     10.0
       20070822       7.48       19.1830     10.0
       20070822       8.48       18.0920     10.0
       20070822       9.49       17.8880     10.0
       20070822      11.10       17.2150     10.0
       20070822      11.30       16.8050     10.0
       20070823       2.77       20.2430     10.0
       20070823       3.14       20.1970     10.0
       20070823       3.59       20.1660     10.0
       20070823       4.58       19.9950     10.0
       20070823       5.57       19.6770     10.0
       20070823       6.51       19.4390     10.0
       20070823       7.48       19.1040     10.0
       20070823       8.48       18.3180     10.0
       20070823       9.49       17.9650     10.0
       20070823      11.10       17.1300     10.0
       20070823      11.30       16.6710     10.0
       20070824       2.77       20.2450     10.0
       20070824       3.14       20.1550     10.0
       20070824       3.59       20.0440     10.0
       20070824       4.58       19.8390     10.0
       20070824       5.57       19.6660     10.0
       20070824       6.51       19.3630     10.0
       20070824       7.48       19.0520     10.0
       20070824       8.48       18.2700     10.0
       20070824       9.49       17.9550     10.0
       20070824      11.10       17.2270     10.0
       20070824      11.30       16.7500     10.0
       20070825       2.77       19.8490     10.0
       20070825       3.14       19.8450     10.0
       20070825       3.59       19.8390     10.0
       20070825       4.58       19.8110     10.0
       20070825       5.57       19.7370     10.0
       20070825       6.51       19.5860     10.0
       20070825       7.48       19.4030     10.0
       20070825       8.48       18.9080     10.0
       20070825       9.49       18.1790     10.0
       20070825      11.10       17.1380     10.0
       20070825      11.30       16.8440     10.0
       20070826       2.77       19.4920     10.0
       20070826       3.14       19.4920     10.0
       20070826       3.59       19.4920     10.0
       20070826       4.58       19.4890     10.0
       20070826       5.57       19.4850     10.0
       20070826       6.51       19.4750     10.0
       20070826       7.48       19.4520     10.0
       20070826       8.48       19.3260     10.0
       20070826       9.49       18.7460     10.0
       20070826      11.10       17.9290     10.0
       20070826      11.30       17.6910     10.0
       20070827       2.77       18.6100     10.0
       20070827       3.14       18.6100     10.0
       20070827       3.59       18.6100     10.0
       20070827       4.58       18.6090     10.0
       20070827       5.57       18.6080     10.0
       20070827       6.51       18.6040     10.0
       20070827       7.48       18.6000     10.0
       20070827       8.48       18.5930     10.0
       20070827       9.49       18.5820     10.0
       20070827      11.10       18.5470     10.0
       20070827      11.30       18.5420     10.0
       20070828       2.77       17.9740     10.0
       20070828       3.14       17.9740     10.0
       20070828       3.59       17.9740     10.0
       20070828       4.58       17.9710     10.0
       20070828       5.57       17.9620     10.0
       20070828       6.51       17.9460     10.0
       20070828       7.48       17.9220     10.0
